score,metric,date,value,year,sentence,number
0.7868766784667969,marketable securities,"january 31, 2021",$74.4 million,2021,"as of january 31, 2022 and january 31, 2021, we had cash and cash equivalents of $240.4 million and $259.9 million, respectively, and marketable securities of $74.4 million and $145.5 million, respectively",74400000.0
0.7733873724937439,marketable securities,"january 31, 2022",$312.0 million,2022,"as of january 31, 2022, our principal sources of liquidity were cash, cash equivalents, and marketable securities of $312.0 million.",312000000.0
0.7242307662963867,total number of customers,"january 31, 2021",497,2021,"additionally, 894 of those paying customers spent $50,000 or more with us on an annualized basis, representing an increase of 497 paying customers from january 31, 2021",497.0
0.7150968909263611,marketable securities,fiscal 2021,$191.6 million,2021,"net cash used in investing activities of $158.9 million for fiscal 2021 consisted of $191.6 million in purchases of marketable securities, $57.3 million in purchases of property and equipment from an increase in construction in progress and leasehold improvements, and $1.0 million in capitalized internal-use software costs, partially offset by $53.8 million in maturities of marketing securities and $37.1 million in sales of marketable securities.",191600000.0
0.6772188544273376,total number of customers,"january 31, 2021","5,263",2021,"of those paying customers, 15,437 spent $5,000 or more with us on an annualized basis, representing an increase of 5,263 paying customers from january 31, 2021",5263.0
0.6474798321723938,total number of customers,"january 31, 2020",190,2020,"of those paying customers, 397 spent $50,000 or more with us on an annualized basis, representing an increase of 190 paying customers from january 31, 2020.",190.0
0.5861995816230774,marketable securities,fiscal 2022,$132.3 million,2022,"net cash provided by investing activities of $27.6 million for fiscal 2022 consisted of $132.3 million in maturities of marketable securities and $0.4 million in sales of marketable securities, partially offset by $62.4 million in purchases of marketable securities, $41.6 million in purchases of property and equipment from an increase in construction in progress, and $1.1 million in capitalized internal-use software costs.",132300000.00000001
0.4149375259876251,total number of customers,"january 31, 2020","44,000",2020,"as of january 31, 2022, we had over 119,000 paying customers globally, representing an increase of approximately 26,000 paying customers from january 31, 2021 and an increase of approximately 44,000 from january 31, 2020",44000.0
0.3947852253913879,total number of customers,"january 31, 2021","26,000",2021,"as of january 31, 2022, we had over 119,000 paying customers globally, representing an increase of approximately 26,000 paying customers from january 31, 2021 and an increase of approximately 44,000 from january 31, 2020",26000.0
0.3726664185523987,total number of customers,"january 31, 2022","15,437",2022,"as of january 31, 2022, we had 15,437 customers spending over $5,000 on an annualized basis contributing approximately 66% of revenues for the fiscal year then ended",15437.0
0.3210195302963257,r&d value,fiscal 2022,$82.0 million,2022,"research and development expenses increased $82.0 million, or 68%, during fiscal 2022 compared to fiscal 2021",82000000.0
0.1988133043050766,total number of customers,"january 31, 2021","93,000",2021,"as of january 31, 2021, we had over 93,000 paying customers globally",93000.0
0.1409022510051727,r&d value,"january 31, 2022",$47.0 million,2022,"as of january 31, 2022, the company has federal and california research and development tax credit carryforwards of $47.0 million and $31.1 million, respectively, to offset future taxable income",47000000.0
