CIK,Company,Type,Date,complete_text_file_link,html_index,Filing Date,Period of Report,SIC,htm_file_link,State of Inc,State location,Fiscal Year End,filename
1013462,ANSYS INC,10-K,2021-02-24,https://www.sec.gov/Archives/edgar/data/1013462/0001013462-21-000009.txt,https://www.sec.gov/Archives/edgar/data/1013462/0001013462-21-000009-index.html,2021-02-24,2020-12-31,7372,https://www.sec.gov/Archives/edgar/data/1013462/000101346221000009/anss-20201231.htm,DE,PA,1231,10K_1013462_20201231_0001013462-21-000009.htm
1433195,APPFOLIO INC,10-K,2021-03-01,https://www.sec.gov/Archives/edgar/data/1433195/0001433195-21-000024.txt,https://www.sec.gov/Archives/edgar/data/1433195/0001433195-21-000024-index.html,2021-03-01,2020-12-31,7372,https://www.sec.gov/Archives/edgar/data/1433195/000143319521000024/appf-20201231.htm,,CA,1231,10K_1433195_20201231_0001433195-21-000024.htm
1441683,APPIAN CORP,10-K,2021-02-18,https://www.sec.gov/Archives/edgar/data/1441683/0001441683-21-000018.txt,https://www.sec.gov/Archives/edgar/data/1441683/0001441683-21-000018-index.html,2021-02-18,2020-12-31,7372,https://www.sec.gov/Archives/edgar/data/1441683/000144168321000018/appn-20201231.htm,,VA,1231,10K_1441683_20201231_0001441683-21-000018.htm
1477720,"Asana, Inc.",10-K,2021-03-30,https://www.sec.gov/Archives/edgar/data/1477720/0001477720-21-000007.txt,https://www.sec.gov/Archives/edgar/data/1477720/0001477720-21-000007-index.html,2021-03-30,2021-01-31,7372,https://www.sec.gov/Archives/edgar/data/1477720/000147772021000007/asan-20210131.htm,DE,CA,0131,10K_1477720_20210131_0001477720-21-000007.htm
1540755,"Anaplan, Inc.",10-K,2021-03-12,https://www.sec.gov/Archives/edgar/data/1540755/0001564590-21-012868.txt,https://www.sec.gov/Archives/edgar/data/1540755/0001564590-21-012868-index.html,2021-03-12,2021-01-31,7372,https://www.sec.gov/Archives/edgar/data/1540755/000156459021012868/plan-10k_20210131.htm,DE,CA,0131,10K_1540755_20210131_0001564590-21-012868.htm
1689923,"Alteryx, Inc.",10-K,2021-02-12,https://www.sec.gov/Archives/edgar/data/1689923/0001689923-21-000024.txt,https://www.sec.gov/Archives/edgar/data/1689923/0001689923-21-000024-index.html,2021-02-12,2020-12-31,7372,https://www.sec.gov/Archives/edgar/data/1689923/000168992321000024/ayx-20201231.htm,DE,CA,1231,10K_1689923_20201231_0001689923-21-000024.htm
1701732,Altair Engineering Inc.,10-K,2021-02-26,https://www.sec.gov/Archives/edgar/data/1701732/0001564590-21-009427.txt,https://www.sec.gov/Archives/edgar/data/1701732/0001564590-21-009427-index.html,2021-02-26,2020-12-31,7372,https://www.sec.gov/Archives/edgar/data/1701732/000156459021009427/altr-10k_20201231.htm,DE,MI,1231,10K_1701732_20201231_0001564590-21-009427.htm
1013462,ANSYS INC,10-K,2022-02-23,https://www.sec.gov/Archives/edgar/data/1013462/0001013462-22-000005.txt,https://www.sec.gov/Archives/edgar/data/1013462/0001013462-22-000005-index.html,2022-02-23,2021-12-31,7372,https://www.sec.gov/Archives/edgar/data/1013462/000101346222000005/anss-20211231.htm,DE,PA,1231,10K_1013462_20211231_0001013462-22-000005.htm
1433195,APPFOLIO INC,10-K,2022-02-28,https://www.sec.gov/Archives/edgar/data/1433195/0001433195-22-000023.txt,https://www.sec.gov/Archives/edgar/data/1433195/0001433195-22-000023-index.html,2022-02-28,2021-12-31,7372,https://www.sec.gov/Archives/edgar/data/1433195/000143319522000023/appf-20211231.htm,,CA,1231,10K_1433195_20211231_0001433195-22-000023.htm
1441683,APPIAN CORP,10-K,2022-02-17,https://www.sec.gov/Archives/edgar/data/1441683/0001441683-22-000023.txt,https://www.sec.gov/Archives/edgar/data/1441683/0001441683-22-000023-index.html,2022-02-17,2021-12-31,7372,https://www.sec.gov/Archives/edgar/data/1441683/000144168322000023/appn-20211231.htm,,VA,1231,10K_1441683_20211231_0001441683-22-000023.htm
1477720,"Asana, Inc.",10-K,2022-03-24,https://www.sec.gov/Archives/edgar/data/1477720/0001477720-22-000012.txt,https://www.sec.gov/Archives/edgar/data/1477720/0001477720-22-000012-index.html,2022-03-24,2022-01-31,7372,https://www.sec.gov/Archives/edgar/data/1477720/000147772022000012/asan-20220131.htm,DE,CA,0131,10K_1477720_20220131_0001477720-22-000012.htm
1540755,"Anaplan, Inc.",10-K,2022-03-23,https://www.sec.gov/Archives/edgar/data/1540755/0001540755-22-000018.txt,https://www.sec.gov/Archives/edgar/data/1540755/0001540755-22-000018-index.html,2022-03-23,2022-01-31,7372,https://www.sec.gov/Archives/edgar/data/1540755/000154075522000018/plan-20220131.htm,DE,CA,0131,10K_1540755_20220131_0001540755-22-000018.htm
1689923,"Alteryx, Inc.",10-K,2022-02-15,https://www.sec.gov/Archives/edgar/data/1689923/0001689923-22-000023.txt,https://www.sec.gov/Archives/edgar/data/1689923/0001689923-22-000023-index.html,2022-02-15,2021-12-31,7372,https://www.sec.gov/Archives/edgar/data/1689923/000168992322000023/ayx-20211231.htm,DE,CA,1231,10K_1689923_20211231_0001689923-22-000023.htm
1701732,Altair Engineering Inc.,10-K,2022-02-28,https://www.sec.gov/Archives/edgar/data/1701732/0001564590-22-007651.txt,https://www.sec.gov/Archives/edgar/data/1701732/0001564590-22-007651-index.html,2022-02-28,2021-12-31,7372,https://www.sec.gov/Archives/edgar/data/1701732/000156459022007651/altr-10k_20211231.htm,DE,MI,1231,10K_1701732_20211231_0001564590-22-007651.htm
